,AIRPORT,Month,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total,latitude,longitude,State
135,MACKAY,April,37306,36462,73768,0,0,0,37306,36462,73768,-21.17,149.19,Queensland
136,MACKAY,May,38516,39266,77782,0,0,0,38516,39266,77782,-21.17,149.19,Queensland
137,MACKAY,June,36662,37129,73791,0,0,0,36662,37129,73791,-21.17,149.19,Queensland
138,MACKAY,July,41060,40679,81739,0,0,0,41060,40679,81739,-21.17,149.19,Queensland
139,MACKAY,August,38899,39694,78593,0,0,0,38899,39694,78593,-21.17,149.19,Queensland
140,MACKAY,September,39439,39714,79153,0,0,0,39439,39714,79153,-21.17,149.19,Queensland
141,MACKAY,October,38680,39795,78475,0,0,0,38680,39795,78475,-21.17,149.19,Queensland
142,MACKAY,November,37635,38306,75941,0,0,0,37635,38306,75941,-21.17,149.19,Queensland
143,MACKAY,December,34565,36745,71310,0,0,0,34565,36745,71310,-21.17,149.19,Queensland
144,HOBART,January,131225,145439,276664,1529,1606,3135,132754,147045,279799,-42.84,147.51,Tasmania
145,MELBOURNE,February,959745,964951,1924696,505353,406356,911709,1465098,1371307,2836405,-37.67,144.84,Victoria
146,MELBOURNE,March,1018694,1056796,2075490,443524,468982,912506,1462218,1525778,2987996,-37.67,144.84,Victoria
147,MELBOURNE,April,1012617,979522,1992139,447712,432555,880267,1460329,1412077,2872406,-37.67,144.84,Victoria
148,MELBOURNE,May,941908,950149,1892057,393502,425979,819481,1335410,1376128,2711538,-37.67,144.84,Victoria
149,MELBOURNE,June,898479,930401,1828880,422064,497667,919731,1320543,1428068,2748611,-37.67,144.84,Victoria
150,MELBOURNE,July,1025230,1004008,2029238,541813,454904,996717,1567043,1458912,3025955,-37.67,144.84,Victoria
151,MELBOURNE,August,974574,976881,1951455,457352,464979,922331,1431926,1441860,2873786,-37.67,144.84,Victoria
152,MELBOURNE,September,990948,1014630,2005578,478422,498163,976585,1469370,1512793,2982163,-37.67,144.84,Victoria
153,MELBOURNE,October,1089673,1061218,2150891,529782,440179,969961,1619455,1501397,3120852,-37.67,144.84,Victoria
154,MELBOURNE,November,1037770,1029025,2066795,465419,484580,949999,1503189,1513605,3016794,-37.67,144.84,Victoria
155,MELBOURNE,December,1025797,1050246,2076043,517804,635978,1153782,1543601,1686224,3229825,-37.67,144.84,Victoria
156,CAIRNS,January,150684,160317,311001,29351,26377,55728,180035,186694,366729,-16.88,145.75,Queensland
157,NEWCASTLE,February,46964,47233,94197,0,0,0,46964,47233,94197,-32.79,151.84,New South Wales
158,NEWCASTLE,March,51856,51103,102959,0,0,0,51856,51103,102959,-32.79,151.84,New South Wales
159,NEWCASTLE,April,51219,52873,104092,0,0,0,51219,52873,104092,-32.79,151.84,New South Wales
160,NEWCASTLE,May,48387,48714,97101,0,0,0,48387,48714,97101,-32.79,151.84,New South Wales
161,NEWCASTLE,June,45854,44939,90793,0,0,0,45854,44939,90793,-32.79,151.84,New South Wales
162,NEWCASTLE,July,50407,51700,102107,0,0,0,50407,51700,102107,-32.79,151.84,New South Wales
163,NEWCASTLE,August,51082,50807,101889,0,0,0,51082,50807,101889,-32.79,151.84,New South Wales
164,NEWCASTLE,September,51884,51647,103531,0,0,0,51884,51647,103531,-32.79,151.84,New South Wales
165,NEWCASTLE,October,55515,54621,110136,0,0,0,55515,54621,110136,-32.79,151.84,New South Wales
166,NEWCASTLE,November,51253,51098,102351,0,0,0,51253,51098,102351,-32.79,151.84,New South Wales
167,NEWCASTLE,December,50095,48339,98434,0,0,0,50095,48339,98434,-32.79,151.84,New South Wales
168,GOLD COAST,January,258128,275765,533893,32659,29658,62317,290787,305423,596210,-28.16,153.51,Queensland
169,PERTH,February,318078,319084,637162,189649,159940,349589,507727,479024,986751,-31.94,115.97,Western Australia
170,PERTH,March,350924,351471,702395,176149,191162,367311,527073,542633,1069706,-31.94,115.97,Western Australia
171,PERTH,April,365883,364430,730313,188116,182632,370748,553999,547062,1101061,-31.94,115.97,Western Australia
172,PERTH,May,361505,354558,716063,170679,186609,357288,532184,541167,1073351,-31.94,115.97,Western Australia
173,PERTH,June,328910,332286,661196,183043,219045,402088,511953,551331,1063284,-31.94,115.97,Western Australia
174,PERTH,July,385908,383983,769891,233759,189965,423724,619667,573948,1193615,-31.94,115.97,Western Australia
175,PERTH,August,374820,370351,745171,198859,197349,396208,573679,567700,1141379,-31.94,115.97,Western Australia
176,PERTH,September,380590,381098,761688,213763,219710,433473,594353,600808,1195161,-31.94,115.97,Western Australia
177,PERTH,October,405084,411776,816860,234066,189287,423353,639150,601063,1240213,-31.94,115.97,Western Australia
178,PERTH,November,385835,382098,767933,197747,203555,401302,583582,585653,1169235,-31.94,115.97,Western Australia
179,PERTH,December,396820,376172,772992,202524,266002,468526,599344,642174,1241518,-31.94,115.97,Western Australia
180,ADELAIDE,January,298535,303488,602023,59785,42023,101808,358320,345511,703831,-34.95,138.53,South Australia
181,PROSERPINE,February,17744,17507,35251,0,0,0,17744,17507,35251,-20.49,148.56,Queensland
182,PROSERPINE,March,19267,18757,38024,0,0,0,19267,18757,38024,-20.49,148.56,Queensland
183,PROSERPINE,April,22044,22995,45039,0,0,0,22044,22995,45039,-20.49,148.56,Queensland
184,PROSERPINE,May,17398,17398,34796,0,0,0,17398,17398,34796,-20.49,148.56,Queensland
185,PROSERPINE,June,18557,17722,36279,0,0,0,18557,17722,36279,-20.49,148.56,Queensland
186,PROSERPINE,July,22092,22164,44256,0,0,0,22092,22164,44256,-20.49,148.56,Queensland
187,PROSERPINE,August,21104,21259,42363,0,0,0,21104,21259,42363,-20.49,148.56,Queensland
188,PROSERPINE,September,23843,22856,46699,0,0,0,23843,22856,46699,-20.49,148.56,Queensland
189,PROSERPINE,October,23889,25137,49026,0,0,0,23889,25137,49026,-20.49,148.56,Queensland
190,PROSERPINE,November,21753,22143,43896,0,0,0,21753,22143,43896,-20.49,148.56,Queensland
191,PROSERPINE,December,23921,23777,47698,0,0,0,23921,23777,47698,-20.49,148.56,Queensland
192,PERTH,January,346887,354720,701607,223269,182147,405416,570156,536867,1107023,-31.94,115.97,Western Australia
193,ROCKHAMPTON,February,24804,25222,50026,0,0,0,24804,25222,50026,-23.38,150.48,Queensland
194,ROCKHAMPTON,March,28398,27865,56263,0,0,0,28398,27865,56263,-23.38,150.48,Queensland
195,ROCKHAMPTON,April,28965,28067,57032,0,0,0,28965,28067,57032,-23.38,150.48,Queensland
196,ROCKHAMPTON,May,28542,29108,57650,0,0,0,28542,29108,57650,-23.38,150.48,Queensland
197,ROCKHAMPTON,June,25919,26335,52254,0,0,0,25919,26335,52254,-23.38,150.48,Queensland
198,ROCKHAMPTON,July,28178,27538,55716,0,0,0,28178,27538,55716,-23.38,150.48,Queensland
199,ROCKHAMPTON,August,27432,28233,55665,0,0,0,27432,28233,55665,-23.38,150.48,Queensland
200,ROCKHAMPTON,September,29304,28759,58063,0,0,0,29304,28759,58063,-23.38,150.48,Queensland
201,ROCKHAMPTON,October,29814,30319,60133,0,0,0,29814,30319,60133,-23.38,150.48,Queensland
202,ROCKHAMPTON,November,27648,28852,56500,0,0,0,27648,28852,56500,-23.38,150.48,Queensland
203,ROCKHAMPTON,December,25418,26248,51666,0,0,0,25418,26248,51666,-23.38,150.48,Queensland
204,BRISBANE,January,626280,631193,1257473,284827,238356,523183,911107,869549,1780656,-27.39,153.12,Queensland
205,SUNSHINE COAST,February,71221,71108,142329,0,0,0,71221,71108,142329,-26.6,153.09,Queensland
206,SUNSHINE COAST,March,80846,77795,158641,0,0,0,80846,77795,158641,-26.6,153.09,Queensland
207,SUNSHINE COAST,April,79092,82672,161764,0,0,0,79092,82672,161764,-26.6,153.09,Queensland
208,SUNSHINE COAST,May,58623,57977,116600,0,0,0,58623,57977,116600,-26.6,153.09,Queensland
209,SUNSHINE COAST,June,57867,56029,113896,360,171,531,58227,56200,114427,-26.6,153.09,Queensland
210,SUNSHINE COAST,July,66390,64841,131231,1895,1588,3483,68285,66429,134714,-26.6,153.09,Queensland
211,SUNSHINE COAST,August,61442,60533,121975,1658,1574,3232,63100,62107,125207,-26.6,153.09,Queensland
212,SUNSHINE COAST,September,64955,62546,127501,1757,1840,3597,66712,64386,131098,-26.6,153.09,Queensland
213,SUNSHINE COAST,October,66367,69379,135746,1243,1327,2570,67610,70706,138316,-26.6,153.09,Queensland
214,SUNSHINE COAST,November,69878,72170,142048,0,0,0,69878,72170,142048,-26.6,153.09,Queensland
215,SUNSHINE COAST,December,80776,74650,155426,1135,1389,2524,81911,76039,157950,-26.6,153.09,Queensland
216,MELBOURNE,January,1031539,999175,2030714,596727,486240,1082967,1628266,1485415,3113681,-37.67,144.84,Victoria
217,SYDNEY,February,999591,991141,1990732,708756,597237,1305993,1708347,1588378,3296725,-33.95,151.18,New South Wales
218,SYDNEY,March,1069650,1063723,2133373,633865,672069,1305934,1703515,1735792,3439307,-33.95,151.18,New South Wales
219,SYDNEY,April,1020395,1027326,2047721,646591,663606,1310197,1666986,1690932,3357918,-33.95,151.18,New South Wales
220,SYDNEY,May,1010450,996124,2006574,599358,617617,1216975,1609808,1613741,3223549,-33.95,151.18,New South Wales
221,SYDNEY,June,969690,941819,1911509,589647,683744,1273391,1559337,1625563,3184900,-33.95,151.18,New South Wales
222,SYDNEY,July,1046005,1085587,2131592,746729,648790,1395519,1792734,1734377,3527111,-33.95,151.18,New South Wales
